Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ROS1		1	1	9	11.1%	Yes
KAT6A		1	1	3	33.3%	Yes
FOXL2		1	1	8	12.5%	Yes
NF1		1	1	9	11.1%	Yes
MED12		1	1	8	12.5%	Yes
PBRM1		1	1	9	11.1%	Yes
U2AF1		1	1	9	11.1%	Yes
IKZF1		1	1	9	11.1%	Yes
SLX4		1	1	3	33.3%	Yes
PIK3CA		1	1	9	11.1%	Yes
FBXW7		1	1	9	11.1%	Yes
KMT2D		1	1	9	11.1%	Yes
