Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
PTPN11		1	1	7	14.3%	Yes
PAX5		1	1	7	14.3%	Yes
TP53		1	1	7	14.3%	Yes
MPEG1		1	1	6	16.7%	Yes
NRAS		1	1	7	14.3%	Yes
EP300		1	1	7	14.3%	Yes
CSF1R		3	1	7	14.3%	Yes
DNMT3A		2	2	7	28.6%	Yes
BRAF		1	1	7	14.3%	Yes
GATA1		1	1	7	14.3%	Yes
BCOR		3	3	7	42.9%	Yes
NOTCH1		1	1	7	14.3%	Yes
MED12		1	1	7	14.3%	Yes
RARA		1	1	7	14.3%	Yes
SETD2		2	1	7	14.3%	Yes
